title,category,publish_date,article_url
Anggota DPR Nilai Undang-undang tentang Pengadilan HAM Perlu Direvisi,detikNews, 15 Jun 2023 18:56 WIB,https://news.detik.com/berita/d-6774962/anggota-dpr-nilai-undang-undang-tentang-pengadilan-ham-perlu-direvisi
"Prabowo soal Proposal Ukraina-Rusia: Presiden Cari Perdamaian, Saya Follow Up",detikNews, 15 Jun 2023 18:54 WIB,https://news.detik.com/berita/d-6774957/prabowo-soal-proposal-ukraina-rusia-presiden-cari-perdamaian-saya-follow-up
Pemotor di Jakut Tonjok dan Tantang Duel Polisi Gara-gara Helm,detikNews, 15 Jun 2023 18:52 WIB,https://news.detik.com/berita/d-6774953/pemotor-di-jakut-tonjok-dan-tantang-duel-polisi-gara-gara-helm
Keluarga Ungkap Luka Sebesar Ban Mobil di Perut Korban Tabrak Lari Cakung,detikNews, 15 Jun 2023 18:43 WIB,https://news.detik.com/berita/d-6774921/keluarga-ungkap-luka-sebesar-ban-mobil-di-perut-korban-tabrak-lari-cakung
MAKI Gugat Kejagung ke PN Jaksel karena Tak Jerat Plate dkk dengan TPPU,detikNews, 15 Jun 2023 18:43 WIB,https://news.detik.com/berita/d-6774920/maki-gugat-kejagung-ke-pn-jaksel-karena-tak-jerat-plate-dkk-dengan-tppu
"Cegah Politik Uang, KPU Ingatkan Partai Wajib Transparan",detikNews, 15 Jun 2023 18:39 WIB,https://news.detik.com/pemilu/d-6774918/cegah-politik-uang-kpu-ingatkan-partai-wajib-transparan
5 Berita Terpopuler Internasional Hari Ini,detikNews, 15 Jun 2023 18:36 WIB,https://news.detik.com/internasional/d-6774909/5-berita-terpopuler-internasional-hari-ini
Ratusan Gereja Hancur Akibat Gelombang Kekerasan Etnis di India,detikNews, 15 Jun 2023 18:35 WIB,https://news.detik.com/bbc-world/d-6774908/ratusan-gereja-hancur-akibat-gelombang-kekerasan-etnis-di-india
Bos Judi Online Apin BK Dituntut 5 Tahun Bui!,detikNews, 15 Jun 2023 18:31 WIB,https://news.detik.com/berita/d-6774902/bos-judi-online-apin-bk-dituntut-5-tahun-bui
Sejarah Jakarta Fair hingga Info Acara PRJ Kemayoran 2023,detikNews, 15 Jun 2023 18:30 WIB,https://news.detik.com/berita/d-6774897/sejarah-jakarta-fair-hingga-info-acara-prj-kemayoran-2023
Perampok Ancam Bikin Cacat SPG Showroom di Bekasi Sebelum Memperkosa,detikNews, 15 Jun 2023 18:29 WIB,https://news.detik.com/berita/d-6774895/perampok-ancam-bikin-cacat-spg-showroom-di-bekasi-sebelum-memperkosa
Kejagung Gandeng PPATK Usut Kasus TPPU Terkait Johnny Plate,detikNews, 15 Jun 2023 18:24 WIB,https://news.detik.com/berita/d-6774883/kejagung-gandeng-ppatk-usut-kasus-tppu-terkait-johnny-plate
Prabowo Buka Suara soal Beli 12 Pesawat Tempur Mirage 2000-5 Bekas Qatar,detikNews, 15 Jun 2023 18:20 WIB,https://news.detik.com/berita/d-6774876/prabowo-buka-suara-soal-beli-12-pesawat-tempur-mirage-2000-5-bekas-qatar
Bawaslu Hormati Putusan MK soal Pemilu 2024 Tetap Coblos Caleg,detikNews, 15 Jun 2023 18:16 WIB,https://news.detik.com/pemilu/d-6774863/bawaslu-hormati-putusan-mk-soal-pemilu-2024-tetap-coblos-caleg
PDIP dan Sistem Pemilu dari Masa ke Masa,detikNews, 15 Jun 2023 18:15 WIB,https://news.detik.com/kolom/d-6774860/pdip-dan-sistem-pemilu-dari-masa-ke-masa
"BPIP Gelar Pancasila Virtual Expo 2023, Ada Kontes Foto Berhadiah!",detikNews, 15 Jun 2023 18:13 WIB,https://news.detik.com/berita/d-6774859/bpip-gelar-pancasila-virtual-expo-2023-ada-kontes-foto-berhadiah
PAN Gabung KKIR? Cak Imin: Belum Pernah Sampaikan ke Kita,detikNews, 15 Jun 2023 18:06 WIB,https://news.detik.com/pemilu/d-6774840/pan-gabung-kkir-cak-imin-belum-pernah-sampaikan-ke-kita
Tangis Ibunda Korban Tabrak Lari di Cakung Minta Keadilan,detikNews, 15 Jun 2023 18:04 WIB,https://news.detik.com/berita/d-6774837/tangis-ibunda-korban-tabrak-lari-di-cakung-minta-keadilan
Pentingnya Konten Informatif buat Pengembangan Sistem Kesehatan,detikNews, 15 Jun 2023 18:04 WIB,https://news.detik.com/berita/d-6774836/pentingnya-konten-informatif-buat-pengembangan-sistem-kesehatan
"Australia Blokir Kedubes Baru Rusia, Kremlin: Histeria Russophobia!",detikNews, 15 Jun 2023 18:03 WIB,https://news.detik.com/internasional/d-6774833/australia-blokir-kedubes-baru-rusia-kremlin-histeria-russophobia
"Sampah Mandek di Kali Margonda Depok, Warga Keluhkan Bau Tak Sedap",detikNews, 15 Jun 2023 18:02 WIB,https://news.detik.com/berita/d-6774831/sampah-mandek-di-kali-margonda-depok-warga-keluhkan-bau-tak-sedap
KPK Tahan 9 Orang Tersangka Korupsi Tukin di Kementerian ESDM,detikNews, 15 Jun 2023 18:02 WIB,https://news.detik.com/berita/d-6774830/kpk-tahan-9-orang-tersangka-korupsi-tukin-di-kementerian-esdm
Kejagung Tetapkan Dirut PT Basis Utama Prima Tersangka Kasus BTS,detikNews, 15 Jun 2023 18:01 WIB,https://news.detik.com/detiktv/d-6774828/kejagung-tetapkan-dirut-pt-basis-utama-prima-tersangka-kasus-bts
Kejagung Tak Akan Berhenti di Yusrizki: Kami Telusuri Sampai Ujung,detikNews, 15 Jun 2023 17:59 WIB,https://news.detik.com/berita/d-6774810/kejagung-tak-akan-berhenti-di-yusrizki-kami-telusuri-sampai-ujung
"David Ozora Tuntut Restitusi Rp 100 M, Pengacara: Mario Dandy Belum Kerja",detikNews, 15 Jun 2023 17:59 WIB,https://news.detik.com/detiktv/d-6774809/david-ozora-tuntut-restitusi-rp-100-m-pengacara-mario-dandy-belum-kerja
Respons Pengacara David Usai Disinggung Pihak Mario 'Incar Harta Rafael Alun',detikNews, 15 Jun 2023 17:58 WIB,https://news.detik.com/berita/d-6774796/respons-pengacara-david-usai-disinggung-pihak-mario-incar-harta-rafael-alun
Ambisi Ekonomi China Jadi Daya Tarik Besar bagi Arab Saudi,detikNews, 15 Jun 2023 17:54 WIB,https://news.detik.com/dw/d-6774784/ambisi-ekonomi-china-jadi-daya-tarik-besar-bagi-arab-saudi
